"X1","X2","X3","X4","X5","cus_id"
"NUTELLA","CHIPS.AHOY","JACOBS","SNAPPY","FLORBÚ","8679838"
"CHIPS.AHOY","CARR.S","DELIPICK.","NACIONAL","JACOBS","8719935"
"BALCONI","CUETARA","MARILAN","CHIPS.AHOY","PROALIMENTAR","8839585"
"BALCONI","NACIONAL","CHIPS.AHOY","MARILAN","NUTELLA","8849964"
"BALCONI","CUETARA","MARILAN","NACIONAL","CHIPS.AHOY","8949893"
"DISNEY","BAUDUCCO","NACIONAL","NUTELLA","OREO","9019561"
"DELIPICK.","LA.BURGALESA","DULCA","CHIPS.AHOY","FILIPINOS","9049946"
"GULLON","INSULAR","BAUDUCCO","OREO","DISNEY","9069852"
"FILIPINOS","OREO","SABOROSA","JACOBS","FRUTOP","9089753"
"FLORBÚ","PROALIMENTAR","NUTELLA","CHIPS.AHOY","DAILIDOCE","9119670"
"FLORBÚ","CHIPS.AHOY","NUTELLA","OREO","FRUTOP","9199746"
"FLORBÚ","CHIPS.AHOY","CUETARA","MILKA","DULCA","9319844"
"LAMBERTZ","CHIPS.AHOY","NACIONAL","DELIPICK.","NUTELLA","9319932"
"FLORBÚ","CHIPS.AHOY","DISNEY","MILKA","SABOROSA","9349783"
"DELIPICK.","CHIPS.AHOY","DULCA","CARR.S","FLORBÚ","9439971"
"NUTELLA","FLORBÚ","CHIPS.AHOY","DELIPICK.","DULCA","9469815"
"MARILAN","SNAPPY","CHIPS.AHOY","DULCA","BELVITA","9509843"
"INSULAR","FLORBÚ","CHIPS.AHOY","TRIUNFO","BAHLSEN","9699987"
"DELIPICK.","CHIPS.AHOY","FILIPINOS","LAMBERTZ","VIEIRA..DE.CASTRO","9829989"
"INSULAR","NACIONAL","BAUDUCCO","JACOBS","OREO","9929819"
"BELVITA","LA.BURGALESA","BALCONI","MARILAN","CHIPS.AHOY","9989829"
"FLORBÚ","CHIPS.AHOY","FRUTOP","DU.BOIS.DE.LA.ROCHE","DELIPICK.","10119835"
"OREO","SABOROSA","DU.BOIS.DE.LA.ROCHE","DISNEY","MILKA","10119936"
"MARILAN","MCVITIES","CHIPS.AHOY","PROALIMENTAR","CARR.S","10179820"
"CHIPS.AHOY","MARILAN","CARR.S","FLORBÚ","NUTELLA","10269678"
"BALCONI","LA.BURGALESA","TRIUNFO","OREO","ARTIACH","10279567"
"BAUDUCCO","CHIPS.AHOY","FRUTOP","NUTELLA","DAILIDOCE","10279748"
"TRIUNFO","CHIPS.AHOY","DAN.CAKE","FLORBÚ","INSULAR","10359835"
"NACIONAL","INSULAR","CHIPS.AHOY","FRUTOP","GULLON","10369846"
"CHIPS.AHOY","DELIPICK.","FILIPINOS","NACIONAL","BALCONI","10459935"
"FRUTOP","FLORBÚ","BAHLSEN","CHIPS.AHOY","ARTIACH","10469726"
"CHIPS.AHOY","FRUTOP","FLORBÚ","PROALIMENTAR","SNAPPY","10469873"
"NACIONAL","BALCONI","CHIPS.AHOY","DELIPICK.","LAMBERTZ","10489785"
"SABOROSA","BAHLSEN","FILIPINOS","OREO","DELIPICK.","10529754"
"CHIPS.AHOY","DELIPICK.","CARR.S","FLORBÚ","DULCA","10629613"
"OREO","CHIPS.AHOY","FLORBÚ","NACIONAL","SABOROSA","10679950"
"DELIPICK.","LAMBERTZ","JACOBS","CARR.S","OREO","10709970"
"FLORBÚ","BAUDUCCO","DULCA","CHIPS.AHOY","BALCONI","10799927"
"CHIPS.AHOY","DU.BOIS.DE.LA.ROCHE","SNAPPY","FLORBÚ","FILIPINOS","10839858"
"CHIPS.AHOY","PROALIMENTAR","FLORBÚ","FRUTOP","DAILIDOCE","10939624"
"CHIPS.AHOY","DU.BOIS.DE.LA.ROCHE","SNAPPY","BAHLSEN","CARR.S","11219702"
"CHIPS.AHOY","BAHLSEN","CARR.S","TRIUNFO","SABOROSA","11279674"
"LAMBERTZ","INSULAR","FRUTOP","CHIPS.AHOY","ARTIACH","11309796"
"OREO","SABOROSA","FRUTOP","MILKA","DU.BOIS.DE.LA.ROCHE","11319562"
"DAN.CAKE","NUTELLA","FLORBÚ","CHIPS.AHOY","LA.BURGALESA","11369915"
"CHIPS.AHOY","FLORBÚ","DELIPICK.","DAN.CAKE","MCVITIES","11389560"
"CHIPS.AHOY","FLORBÚ","DELIPICK.","BALCONI","PROALIMENTAR","11409719"
"TRIUNFO","CHIPS.AHOY","FLORBÚ","DAN.CAKE","LAMBERTZ","11449698"
"PROALIMENTAR","MARILAN","CARR.S","MCVITIES","CHIPS.AHOY","11469570"
"BALCONI","NACIONAL","CUETARA","LA.BURGALESA","CHIPS.AHOY","11469670"
"TRIUNFO","BAUDUCCO","LAMBERTZ","OREO","LA.BURGALESA","11529864"
"CARR.S","CHIPS.AHOY","DELIPICK.","LAMBERTZ","FRUTOP","11549821"
"CHIPS.AHOY","MILKA","CARR.S","DELIPICK.","LA.BURGALESA","11589762"
"OREO","BALCONI","SABOROSA","CHIPS.AHOY","GULLON","11599805"
"OREO","SABOROSA","BAHLSEN","FILIPINOS","DISNEY","11599992"
"OREO","DISNEY","ARTIACH","FRUTOP","SABOROSA","11629887"
"OREO","SABOROSA","DELIPICK.","LAMBERTZ","MILKA","11639959"
"NACIONAL","BALCONI","VIEIRA..DE.CASTRO","OREO","SABOROSA","11719672"
"NACIONAL","LA.BURGALESA","TRIUNFO","CHIPS.AHOY","OREO","11789750"
"NACIONAL","JACOBS","CARR.S","CHIPS.AHOY","FLORBÚ","11789884"
"CHIPS.AHOY","JACOBS","BAHLSEN","PROALIMENTAR","NUTELLA","11789887"
"LAMBERTZ","DAILIDOCE","INSULAR","TUC","CHIPS.AHOY","11819720"
"DISNEY","BELVITA","DULCA","CHIPS.AHOY","SABOROSA","11939871"
"LA.BURGALESA","FRUTOP","OREO","CARR.S","CHIPS.AHOY","11939934"
"FLORBÚ","SNAPPY","CHIPS.AHOY","SABOROSA","DU.BOIS.DE.LA.ROCHE","11979747"
"GULLON","OREO","NUTELLA","FRUTOP","NACIONAL","12089735"
"OREO","SABOROSA","BAHLSEN","FILIPINOS","FRUTOP","12109797"
"FLORBÚ","LAMBERTZ","CHIPS.AHOY","MILKA","DELIPICK.","12159907"
"BALCONI","BAHLSEN","DU.BOIS.DE.LA.ROCHE","JACOBS","CHIPS.AHOY","12189994"
"FLORBÚ","CHIPS.AHOY","CARR.S","LAMBERTZ","DELIPICK.","12299800"
"FLORBÚ","CHIPS.AHOY","CUETARA","ARTIACH","FRUTOP","12359644"
"LAMBERTZ","INSULAR","PROALIMENTAR","MARILAN","CHIPS.AHOY","12529942"
"CHIPS.AHOY","TRIUNFO","BAHLSEN","LA.BURGALESA","SABOROSA","12559813"
"GULLON","DELIPICK.","OREO","SNAPPY","DAN.CAKE","12649991"
"NUTELLA","CHIPS.AHOY","FLORBÚ","DAILIDOCE","NACIONAL","12659995"
"INSULAR","ARTIACH","VIEIRA..DE.CASTRO","BAHLSEN","OREO","12739698"
"FLORBÚ","MILKA","DELIPICK.","CARR.S","CHIPS.AHOY","12869802"
"NACIONAL","CHIPS.AHOY","BALCONI","DELIPICK.","CARR.S","12899960"
"NUTELLA","FRUTOP","OREO","TUC","JACOBS","12949792"
"OREO","SABOROSA","DU.BOIS.DE.LA.ROCHE","LAMBERTZ","DISNEY","13029758"
