"X1","X2","X3","X4","X5","cus_id"
1,1,1,1,1,"37769931"
2,2,3,3,3,"37809945"
5,5,4,4,5,"37939888"
2,2,5,3,5,"37989556"
3,3,3,3,2,"38079788"
3,3,3,3,2,"38079809"
3,3,3,3,3,"38169913"
5,3,5,4,5,"38209579"
2,5,4,4,5,"38259649"
3,2,1,4,5,"38269966"
4,4,4,4,5,"38279666"
2,2,3,2,3,"38309986"
2,2,2,3,3,"38329808"
5,4,4,3,4,"38349595"
4,5,7,5,2,"38399997"
11,6,9,10,11,"38419754"
2,2,2,2,2,"38469642"
4,4,4,3,4,"38479729"
4,3,3,3,3,"38509607"
4,6,5,4,6,"38599801"
3,4,3,3,3,"38659789"
7,6,10,7,8,"38679713"
5,5,5,4,5,"38709981"
2,3,4,3,2,"38809687"
3,3,3,3,3,"38849787"
3,3,3,2,3,"38939876"
3,3,3,3,3,"38999936"
7,7,6,8,7,"39029801"
6,7,7,4,6,"39069916"
2,2,2,2,2,"39089617"
7,7,8,5,6,"39089810"
6,5,5,5,6,"39229941"
3,2,3,3,3,"39249847"
6,5,5,2,10,"39339616"
2,2,3,3,2,"39369790"
2,2,2,2,2,"39629993"
2,2,4,4,4,"39669803"
3,3,3,3,3,"39669911"
5,4,4,5,4,"39679904"
3,3,3,3,3,"39699825"
2,2,2,1,2,"39719814"
12,11,17,11,13,"39719963"
3,3,3,3,3,"39739563"
3,4,5,4,5,"39739964"
2,2,2,3,2,"39769980"
3,3,3,3,3,"39789916"
2,2,2,2,2,"39809741"
11,3,3,2,3,"39849575"
4,4,4,5,4,"39849760"
2,2,2,2,2,"39849975"
2,2,2,2,2,"39949823"
2,2,2,2,2,"39979725"
2,3,3,3,3,"40099884"
3,3,3,3,3,"40139886"
6,6,6,6,6,"40149996"
5,5,6,2,2,"40169835"
7,8,7,7,7,"40199579"
3,3,3,3,3,"40199924"
1,2,3,1,3,"40199980"
4,4,4,4,4,"40229834"
3,3,3,3,4,"40239915"
3,4,4,4,3,"40289891"
3,2,3,2,2,"40419620"
7,6,7,7,7,"40429880"
1,1,1,1,2,"40439944"
2,2,2,2,2,"40479996"
2,2,2,2,2,"40549840"
2,4,3,4,3,"40579818"
2,3,3,3,3,"40599648"
4,4,4,3,4,"40609703"
3,2,3,3,3,"40619813"
4,5,7,5,2,"40669690"
2,2,2,2,2,"40669781"
6,5,9,6,2,"40709994"
3,3,3,4,2,"40749822"
4,3,2,3,4,"40779978"
1,1,1,1,1,"40819762"
2,5,4,4,5,"40889581"
7,3,3,7,1,"40889697"
4,4,4,4,5,"40959631"
3,4,3,4,3,"40969917"
3,4,3,3,3,"41049616"
6,6,6,6,4,"41069978"
5,6,6,2,1,"41089978"
3,4,4,3,3,"41189997"
4,4,3,3,4,"41219986"
2,2,2,2,2,"41419975"
3,3,3,3,3,"41469905"
2,2,3,2,2,"41479616"
6,8,7,4,4,"41519646"
2,2,2,2,2,"41539962"
4,4,6,4,2,"41579936"
1,3,2,2,2,"41589878"
3,3,3,3,3,"41679923"
5,5,5,5,5,"41699814"
2,1,2,2,2,"41709665"
